movie_title,genres,title_year,imdb_score,actor_1_name,actor_2_name,actor_3_name,language,country
Avatar ,Action|Adventure|Fantasy|Sci-Fi,2009,7.9,CCH Pounder,Joel David Moore,Wes Studi,English,USA
Pirates of the Caribbean: At World's End ,Action|Adventure|Fantasy,2007,7.1,Johnny Depp,Orlando Bloom,Jack Davenport,English,USA
Spectre ,Action|Adventure|Thriller,2015,6.8,Christoph Waltz,Rory Kinnear,Stephanie Sigman,English,UK
The Dark Knight Rises ,Action|Thriller,2012,8.5,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,English,USA
John Carter ,Action|Adventure|Sci-Fi,2012,6.6,Daryl Sabara,Samantha Morton,Polly Walker,English,USA
Spider-Man 3 ,Action|Adventure|Romance,2007,6.2,J.K. Simmons,James Franco,Kirsten Dunst,English,USA
Tangled ,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,2010,7.8,Brad Garrett,Donna Murphy,M.C. Gainey,English,USA
Avengers: Age of Ultron ,Action|Adventure|Sci-Fi,2015,7.5,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,English,USA
Harry Potter and the Half-Blood Prince ,Adventure|Family|Fantasy|Mystery,2009,7.5,Alan Rickman,Daniel Radcliffe,Rupert Grint,English,UK
Batman v Superman: Dawn of Justice ,Action|Adventure|Sci-Fi,2016,6.9,Henry Cavill,Lauren Cohan,Alan D. Purwin,English,USA
Superman Returns ,Action|Adventure|Sci-Fi,2006,6.1,Kevin Spacey,Marlon Brando,Frank Langella,English,USA
Quantum of Solace ,Action|Adventure,2008,6.7,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,English,UK
Pirates of the Caribbean: Dead Man's Chest ,Action|Adventure|Fantasy,2006,7.3,Johnny Depp,Orlando Bloom,Jack Davenport,English,USA
The Lone Ranger ,Action|Adventure|Western,2013,6.5,Johnny Depp,Ruth Wilson,Tom Wilkinson,English,USA
Man of Steel ,Action|Adventure|Fantasy|Sci-Fi,2013,7.2,Henry Cavill,Christopher Meloni,Harry Lennix,English,USA
The Chronicles of Narnia: Prince Caspian ,Action|Adventure|Family|Fantasy,2008,6.6,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,English,USA
The Avengers ,Action|Adventure|Sci-Fi,2012,8.1,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,English,USA
Pirates of the Caribbean: On Stranger Tides ,Action|Adventure|Fantasy,2011,6.7,Johnny Depp,Sam Claflin,Stephen Graham,English,USA
Men in Black 3 ,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,2012,6.8,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,English,USA
The Hobbit: The Battle of the Five Armies ,Adventure|Fantasy,2014,7.5,Aidan Turner,Adam Brown,James Nesbitt,English,New Zealand
The Amazing Spider-Man ,Action|Adventure|Fantasy,2012,7,Emma Stone,Andrew Garfield,Chris Zylka,English,USA
Robin Hood ,Action|Adventure|Drama|History,2010,6.7,Mark Addy,William Hurt,Scott Grimes,English,USA
The Hobbit: The Desolation of Smaug ,Adventure|Fantasy,2013,7.9,Aidan Turner,Adam Brown,James Nesbitt,English,USA
The Golden Compass ,Adventure|Family|Fantasy,2007,6.1,Christopher Lee,Eva Green,Kristin Scott Thomas,English,USA
King Kong ,Action|Adventure|Drama|Romance,2005,7.2,Naomi Watts,Thomas Kretschmann,Evan Parke,English,New Zealand
Titanic ,Drama|Romance,1997,7.7,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,English,USA
Captain America: Civil War ,Action|Adventure|Sci-Fi,2016,8.2,Robert Downey Jr.,Scarlett Johansson,Chris Evans,English,USA
Battleship ,Action|Adventure|Sci-Fi|Thriller,2012,5.9,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,English,USA
Jurassic World ,Action|Adventure|Sci-Fi|Thriller,2015,7,Bryce Dallas Howard,Judy Greer,Omar Sy,English,USA
Skyfall ,Action|Adventure|Thriller,2012,7.8,Albert Finney,Helen McCrory,Rory Kinnear,English,UK
Spider-Man 2 ,Action|Adventure|Fantasy|Romance,2004,7.3,J.K. Simmons,James Franco,Kirsten Dunst,English,USA
Iron Man 3 ,Action|Adventure|Sci-Fi,2013,7.2,Robert Downey Jr.,Jon Favreau,Don Cheadle,English,USA
Alice in Wonderland ,Adventure|Family|Fantasy,2010,6.5,Johnny Depp,Alan Rickman,Anne Hathaway,English,USA
X-Men: The Last Stand ,Action|Adventure|Fantasy|Sci-Fi|Thriller,2006,6.8,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,English,Canada
Monsters University ,Adventure|Animation|Comedy|Family|Fantasy,2013,7.3,Steve Buscemi,Tyler Labine,Sean Hayes,English,USA
Transformers: Revenge of the Fallen ,Action|Adventure|Sci-Fi,2009,6,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,English,USA
Transformers: Age of Extinction ,Action|Adventure|Sci-Fi,2014,5.7,Bingbing Li,Sophia Myles,Kelsey Grammer,English,USA
Oz the Great and Powerful ,Adventure|Family|Fantasy,2013,6.4,Tim Holmes,Mila Kunis,James Franco,English,USA
The Amazing Spider-Man 2 ,Action|Adventure|Fantasy|Sci-Fi,2014,6.7,Emma Stone,Andrew Garfield,B.J. Novak,English,USA
TRON: Legacy ,Action|Adventure|Sci-Fi,2010,6.8,Jeff Bridges,Olivia Wilde,James Frain,English,USA
Cars 2 ,Adventure|Animation|Comedy|Family|Sport,2011,6.3,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,English,USA
Green Lantern ,Action|Adventure|Sci-Fi,2011,5.6,Ryan Reynolds,Temuera Morrison,Taika Waititi,English,USA
Toy Story 3 ,Adventure|Animation|Comedy|Family|Fantasy,2010,8.3,Tom Hanks,John Ratzenberger,Don Rickles,English,USA
Terminator Salvation ,Action|Adventure|Sci-Fi,2009,6.6,Christian Bale,Bryce Dallas Howard,Common,English,USA
Furious 7 ,Action|Crime|Thriller,2015,7.2,Jason Statham,Paul Walker,Vin Diesel,English,USA
World War Z ,Action|Adventure|Horror|Sci-Fi|Thriller,2013,7,Peter Capaldi,Brad Pitt,Mireille Enos,English,USA
X-Men: Days of Future Past ,Action|Adventure|Fantasy|Sci-Fi|Thriller,2014,8,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,English,USA
Star Trek Into Darkness ,Action|Adventure|Sci-Fi,2013,7.8,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,English,USA
Jack the Giant Slayer ,Adventure|Fantasy,2013,6.3,Eddie Marsan,Ewen Bremner,Ralph Brown,English,USA
The Great Gatsby ,Drama|Romance,2013,7.3,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,English,Australia
Prince of Persia: The Sands of Time ,Action|Adventure|Fantasy|Romance,2010,6.6,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,English,USA
Pacific Rim ,Action|Adventure|Sci-Fi,2013,7,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,English,USA
Transformers: Dark of the Moon ,Action|Adventure|Sci-Fi,2011,6.3,Glenn Morshower,Lester Speight,Kevin Dunn,English,USA
Indiana Jones and the Kingdom of the Crystal Skull ,Action|Adventure|Fantasy,2008,6.2,Harrison Ford,Ray Winstone,Jim Broadbent,English,USA
The Good Dinosaur ,Adventure|Animation|Comedy|Family|Fantasy,2015,6.8,A.J. Buckley,Jack McGraw,Peter Sohn,English,USA
Brave ,Adventure|Animation|Comedy|Family|Fantasy,2012,7.2,Kelly Macdonald,John Ratzenberger,Julie Walters,English,USA
Star Trek Beyond ,Action|Adventure|Sci-Fi|Thriller,2016,7.5,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,English,USA
WALL·E ,Adventure|Animation|Family|Sci-Fi,2008,8.4,John Ratzenberger,Fred Willard,Jeff Garlin,English,USA
Rush Hour 3 ,Action|Comedy|Crime|Thriller,2007,6.2,Tzi Ma,Dana Ivey,Noémie Lenoir,English,USA
2012 ,Action|Adventure|Sci-Fi,2009,5.8,Oliver Platt,Liam James,Tom McCarthy,English,USA
A Christmas Carol ,Animation|Drama|Family|Fantasy,2009,6.8,Robin Wright,Colin Firth,Gary Oldman,English,USA
Jupiter Ascending ,Action|Adventure|Sci-Fi,2015,5.4,Channing Tatum,Mila Kunis,Eddie Redmayne,English,USA
The Legend of Tarzan ,Action|Adventure|Drama|Romance,2016,6.6,Christoph Waltz,Alexander Skarsgård,Casper Crump,English,USA
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Adventure|Family|Fantasy,2005,6.9,Jim Broadbent,Kiran Shah,Shane Rangi,English,USA
X-Men: Apocalypse ,Action|Adventure|Sci-Fi,2016,7.3,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,English,USA
The Dark Knight ,Action|Crime|Drama|Thriller,2008,9,Christian Bale,Heath Ledger,Morgan Freeman,English,USA
Up ,Adventure|Animation|Comedy|Family,2009,8.3,John Ratzenberger,Delroy Lindo,Jess Harnell,English,USA
Monsters vs. Aliens ,Action|Adventure|Animation|Comedy|Family|Sci-Fi,2009,6.5,Amy Poehler,Rainn Wilson,Stephen Colbert,English,USA
Iron Man ,Action|Adventure|Sci-Fi,2008,7.9,Robert Downey Jr.,Jeff Bridges,Jon Favreau,English,USA
Hugo ,Adventure|Drama|Family|Mystery,2011,7.5,Chloë Grace Moretz,Christopher Lee,Ray Winstone,English,USA
Wild Wild West ,Action|Comedy|Sci-Fi|Western,1999,4.8,Will Smith,Salma Hayek,Bai Ling,English,USA
The Mummy: Tomb of the Dragon Emperor ,Action|Adventure|Fantasy|Horror|Thriller,2008,5.2,Jet Li,Brendan Fraser,Russell Wong,English,USA
Suicide Squad ,Action|Adventure|Comedy|Sci-Fi,2016,6.9,Will Smith,Robin Atkin Downes,Ike Barinholtz,English,USA
Evan Almighty ,Comedy|Family|Fantasy,2007,5.4,Jimmy Bennett,Morgan Freeman,Steve Carell,English,USA
Edge of Tomorrow ,Action|Adventure|Sci-Fi,2014,7.9,Tom Cruise,Lara Pulver,Noah Taylor,English,USA
Waterworld ,Action|Adventure|Sci-Fi|Thriller,1995,6.1,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,English,USA
G.I. Joe: The Rise of Cobra ,Action|Adventure|Sci-Fi|Thriller,2009,5.8,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,English,USA
Inside Out ,Adventure|Animation|Comedy|Drama|Family|Fantasy,2015,8.3,Amy Poehler,Mindy Kaling,Phyllis Smith,English,USA
The Jungle Book ,Adventure|Drama|Family|Fantasy,2016,7.8,Scarlett Johansson,Bill Murray,Garry Shandling,English,UK
Iron Man 2 ,Action|Adventure|Sci-Fi,2010,7,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,English,USA
Snow White and the Huntsman ,Action|Adventure|Drama|Fantasy,2012,6.1,Chris Hemsworth,Kristen Stewart,Sam Claflin,English,USA
Maleficent ,Action|Adventure|Family|Fantasy|Romance,2014,7,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,English,USA
